Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Rumen	ruminal_MAG_365	357	2063163	82	7276	34192	0.57418	81.87	2.21	70.82	7x
High-quality	Rumen	ruminal_MAG_366	264	4367932	34	34699	133885	0.48608	96.56	5.68	68.16	17x
High-quality	Rumen	ruminal_MAG_367	483	1610224	122	4207	17928	0.28129	84.12	4.67	60.77	7x
High-quality	Rumen	ruminal_MAG_368	894	2681272	224	3614	19731	0.53389	80.05	5.82	50.95	6x
High-quality	Rumen	ruminal_MAG_369	500	2695087	139	6231	24257	0.46961	85.02	3.15	69.27	7x
High-quality	Rumen	ruminal_MAG_37	83	3589349	12	89612	273605	0.48757	97.16	1.79	88.21	52x
High-quality	Rumen	ruminal_MAG_370	374	1841345	102	5587	20613	0.36954	84.82	2.83	70.67	7x
High-quality	Rumen	ruminal_MAG_371	118	3660066	22	54314	153885	0.46667	96.18	1.91	86.63	19x
High-quality	Rumen	ruminal_MAG_372	588	1908081	133	4432	30231	0.53943	83.83	2.31	72.28	7x
High-quality	Rumen	ruminal_MAG_373	96	2003543	20	29750	113575	0.5178	98.7	0	98.7	25x
High-quality	Rumen	ruminal_MAG_374	327	2605252	63	13363	45684	0.48896	90.43	2.8	76.43	10x
High-quality	Rumen	ruminal_MAG_375	71	3045527	11	78192	491906	0.54899	95.87	0.6	92.87	19x
High-quality	Rumen	ruminal_MAG_376	180	4293504	26	54143	150555	0.51157	96.91	1.39	89.96	19x
High-quality	Rumen	ruminal_MAG_377	160	3500802	26	41571	109684	0.52302	92.83	0.88	88.43	11x
High-quality	Rumen	ruminal_MAG_378	165	1213718	34	9745	55559	0.36547	85.04	1.12	79.44	9x
High-quality	Rumen	ruminal_MAG_379	998	2914267	245	3494	26869	0.40018	83.59	3.77	64.74	5x
High-quality	Rumen	ruminal_MAG_38	61	2001677	16	48234	139675	0.57663	97.32	0.67	93.97	6x
High-quality	Rumen	ruminal_MAG_380	364	2020715	80	7627	44427	0.49463	91.09	1.56	83.29	7x
High-quality	Rumen	ruminal_MAG_381	96	1628379	18	28430	150742	0.4364	84.88	0.18	83.98	12x
High-quality	Rumen	ruminal_MAG_382	387	3849083	84	14094	71154	0.44665	96.51	1.69	88.06	10x
High-quality	Rumen	ruminal_MAG_383	69	2031221	14	44534	147061	0.59514	91.61	0	91.61	15x
High-quality	Rumen	ruminal_MAG_384	91	1993114	16	39155	161554	0.33754	97.85	0.54	95.15	11x
High-quality	Rumen	ruminal_MAG_385	225	1719067	52	10784	39178	0.52474	92.38	1.73	83.73	8x
High-quality	Rumen	ruminal_MAG_386	585	2207252	152	4575	22059	0.44603	88.27	4.3	66.77	3x
High-quality	Rumen	ruminal_MAG_387	198	3708996	18	64965	333545	0.55863	98.47	1.28	92.07	42x
High-quality	Rumen	ruminal_MAG_388	48	2606983	9	96291	437110	0.56879	95.81	1.41	88.76	45x
High-quality	Rumen	ruminal_MAG_389	133	2980487	24	44179	113346	0.63691	97.09	1.75	88.34	13x
High-quality	Rumen	ruminal_MAG_39	39	3444736	8	143115	474035	0.47586	100	0	100	36x
High-quality	Rumen	ruminal_MAG_390	42	2310493	9	92653	181146	0.55594	94.68	0.95	89.93	21x
High-quality	Rumen	ruminal_MAG_391	506	2513818	139	5823	25454	0.45708	83.75	1.26	77.45	8x
High-quality	Rumen	ruminal_MAG_392	538	2364298	134	5721	18516	0.47522	83.92	4.92	59.32	7x
High-quality	Rumen	ruminal_MAG_393	445	4937279	40	36671	185566	0.48847	97.95	9.22	51.85	24x
High-quality	Rumen	ruminal_MAG_394	391	2518634	67	9764	53455	0.35065	83.48	4.04	63.28	18x
High-quality	Rumen	ruminal_MAG_395	279	2734787	49	17566	57935	0.59429	89.33	5.41	62.28	16x
High-quality	Rumen	ruminal_MAG_396	84	2711859	14	68344	145205	0.50766	94.15	1.38	87.25	15x
High-quality	Rumen	ruminal_MAG_397	22	1169435	4	139128	254804	0.34621	96.07	3.37	79.22	44x
High-quality	Rumen	ruminal_MAG_398	25	536266	6	35152	79551	0.27096	80.25	0	80.25	21x
High-quality	Rumen	ruminal_MAG_399	50	2234155	10	72642	186244	0.51797	97.62	0.19	96.67	15x
High-quality	Rumen	ruminal_MAG_4	373	1222111	96	4083	20203	0.45833	84.73	3.47	67.38	7x
High-quality	Rumen	ruminal_MAG_40	84	3038487	18	61535	129446	0.54505	94.35	0.63	91.2	15x
High-quality	Rumen	ruminal_MAG_400	200	1637289	45	11285	40629	0.52194	84.35	2.27	73	10x
High-quality	Rumen	ruminal_MAG_401	54	1988086	11	61580	206077	0.6043	92.95	0	92.95	19x
High-quality	Rumen	ruminal_MAG_402	445	3646920	88	12056	50697	0.51664	95.06	1.22	88.96	11x
High-quality	Rumen	ruminal_MAG_403	101	1368088	23	18248	57343	0.6071	82.28	0.71	78.73	14x
High-quality	Rumen	ruminal_MAG_404	538	1692955	149	3732	14998	0.3369	86.36	1.62	78.26	6x
High-quality	Rumen	ruminal_MAG_405	325	1267017	83	4958	18988	0.48216	84.85	0	84.85	8x
High-quality	Rumen	ruminal_MAG_406	439	3247032	98	9540	32383	0.5238	85.63	1.36	78.83	9x
High-quality	Rumen	ruminal_MAG_407	657	2175272	173	4025	20766	0.49523	81.48	2.94	66.78	5x
High-quality	Rumen	ruminal_MAG_408	964	2631491	243	3219	16950	0.41049	84.46	1.01	79.41	9x
High-quality	Rumen	ruminal_MAG_409	407	3366344	77	12914	55673	0.51203	87.14	4.7	63.64	85x
High-quality	Rumen	ruminal_MAG_41	568	2706767	115	6414	52221	0.49714	88.99	3.29	72.54	12x
High-quality	Rumen	ruminal_MAG_410	198	3797927	19	47178	251425	0.52665	98.43	2.35	86.68	37x
High-quality	Rumen	ruminal_MAG_411	182	1817306	36	13764	104121	0.50549	89.95	0	89.95	11x
High-quality	Rumen	ruminal_MAG_412	67	3253501	15	73524	197042	0.49924	91.67	0.54	88.97	14x
High-quality	Rumen	ruminal_MAG_413	192	1886923	42	12959	50439	0.51583	91.98	0	91.98	8x
High-quality	Rumen	ruminal_MAG_414	570	2254049	128	5154	25021	0.53482	92.39	1.01	87.34	8x
High-quality	Rumen	ruminal_MAG_415	220	3875990	20	59897	242344	0.46575	98.12	8.42	56.02	40x
High-quality	Rumen	ruminal_MAG_416	171	3424658	19	58055	137942	0.47875	97.41	1.63	89.26	18x
High-quality	Rumen	ruminal_MAG_417	209	1327324	43	9282	59364	0.36464	93.26	4.49	70.81	10x
High-quality	Rumen	ruminal_MAG_418	436	3791089	84	12386	64462	0.49528	90.16	6.71	56.61	11x
High-quality	Rumen	ruminal_MAG_419	203	2718643	42	19659	73320	0.51532	87.79	0.88	83.39	11x
High-quality	Rumen	ruminal_MAG_42	618	2165603	143	4475	18564	0.56997	82.27	2.8	68.27	7x
High-quality	Rumen	ruminal_MAG_420	63	2369674	11	79307	170128	0.45468	96.4	1.08	91	36x
High-quality	Rumen	ruminal_MAG_421	120	1548983	29	17205	48742	0.4992	90.22	0.48	87.82	10x
High-quality	Rumen	ruminal_MAG_422	168	2881459	33	26796	105164	0.38821	90.35	0.93	85.7	12x
High-quality	Rumen	ruminal_MAG_423	125	2011740	27	22378	61245	0.50956	92.47	1.88	83.07	7x
High-quality	Rumen	ruminal_MAG_424	244	3341501	51	19157	69128	0.49556	86.36	0.1	85.86	19x
High-quality	Rumen	ruminal_MAG_425	1219	3933016	322	3852	30139	0.32127	81.14	3.03	65.99	8x
High-quality	Rumen	ruminal_MAG_426	407	859199	119	2205	15591	0.47566	81.09	3.81	62.04	7x
High-quality	Rumen	ruminal_MAG_427	563	2823916	143	6312	25997	0.40946	94.97	0.89	90.52	9x
High-quality	Rumen	ruminal_MAG_428	472	2255114	114	5862	26753	0.43796	88.75	1.88	79.35	6x
High-quality	Rumen	ruminal_MAG_429	207	3788259	19	62845	170876	0.56868	95.55	2.01	85.5	25x
High-quality	Rumen	ruminal_MAG_43	514	2328681	120	5725	27485	0.48967	86.23	3.78	67.33	6x
High-quality	Rumen	ruminal_MAG_430	362	3856075	69	16804	89865	0.40188	94.53	1.61	86.48	11x
High-quality	Rumen	ruminal_MAG_431	69	2848412	16	68431	132861	0.49244	98.15	4.49	75.7	34x
High-quality	Rumen	ruminal_MAG_432	199	2170092	39	17152	52245	0.61206	91.12	4.24	69.92	20x
High-quality	Rumen	ruminal_MAG_433	135	3657456	18	70945	183702	0.51991	93.02	2.06	82.72	93x
High-quality	Rumen	ruminal_MAG_434	125	2837733	17	43400	170267	0.58795	80.28	2.53	67.63	32x
High-quality	Rumen	ruminal_MAG_435	16	952063	3	125502	222864	0.44235	86.81	0	86.81	38x
High-quality	Rumen	ruminal_MAG_436	76	3816892	15	90308	185797	0.51101	90.19	0.94	85.49	16x
High-quality	Rumen	ruminal_MAG_437	130	3325272	18	50590	178887	0.55288	99.19	1.05	93.94	23x
High-quality	Rumen	ruminal_MAG_438	161	2411221	33	23429	109541	0.5239	96.27	1.43	89.12	14x
High-quality	Rumen	ruminal_MAG_439	52	3193580	10	97382	381581	0.48503	94.89	0	94.89	22x
High-quality	Rumen	ruminal_MAG_44	68	3139232	11	96531	320608	0.46465	94.15	1.53	86.5	26x
High-quality	Rumen	ruminal_MAG_440	239	2066429	48	12871	99789	0.34163	92.53	2.4	80.53	28x
High-quality	Rumen	ruminal_MAG_441	58	2710962	10	83752	191970	0.55733	95	0.71	91.45	17x
High-quality	Rumen	ruminal_MAG_442	311	1866351	81	6868	35547	0.37573	84.2	0.23	83.05	6x
High-quality	Rumen	ruminal_MAG_443	370	2858500	80	10658	42297	0.51194	89.68	1.59	81.73	9x
High-quality	Rumen	ruminal_MAG_444	23	1503767	7	99299	163808	0.37087	93.12	0	93.12	16x
High-quality	Rumen	ruminal_MAG_445	47	2430018	9	87916	269204	0.48868	96.17	0.71	92.62	15x
High-quality	Rumen	ruminal_MAG_446	750	2201783	209	3395	14145	0.39298	83.43	3.53	65.78	3x
High-quality	Rumen	ruminal_MAG_447	45	2043795	7	117690	204120	0.32093	96.63	2.25	85.38	32x
High-quality	Rumen	ruminal_MAG_448	104	2944522	23	41873	114009	0.48613	89.43	0.19	88.48	15x
High-quality	Rumen	ruminal_MAG_449	225	2632387	47	17280	55644	0.61126	85.74	2.82	71.64	12x
High-quality	Rumen	ruminal_MAG_45	48	1458322	11	51614	125695	0.45635	96.63	0	96.63	50x
High-quality	Rumen	ruminal_MAG_450	146	2240689	34	22094	71463	0.47025	94.91	0.95	90.16	11x
High-quality	Rumen	ruminal_MAG_451	93	2609812	21	48862	100701	0.5484	95.17	0.67	91.82	13x
High-quality	Rumen	ruminal_MAG_452	336	2553642	66	10676	74210	0.54091	84.74	1.76	75.94	9x
High-quality	Rumen	ruminal_MAG_453	725	2341135	193	3866	18105	0.39251	85.78	3.35	69.03	5x
High-quality	Rumen	ruminal_MAG_454	148	2738867	17	43733	178846	0.56001	91.76	3.08	76.36	47x
High-quality	Rumen	ruminal_MAG_455	391	3724830	42	20539	399932	0.48772	96.24	7.56	58.44	35x
High-quality	Rumen	ruminal_MAG_456	45	2361591	5	154192	410528	0.61283	93.89	2.02	83.79	20x
High-quality	Rumen	ruminal_MAG_457	178	2183128	20	38017	95680	0.49563	91.7	4.58	68.8	15x
High-quality	Rumen	ruminal_MAG_458	275	1412645	64	6592	33749	0.47149	86.06	0.1	85.56	6x
High-quality	Rumen	ruminal_MAG_459	236	2102036	54	11523	53863	0.47791	83.12	3.8	64.12	8x
High-quality	Rumen	ruminal_MAG_46	70	3470203	13	82998	228547	0.48595	100	0.02	99.9	24x
High-quality	Rumen	ruminal_MAG_460	159	2060582	26	20929	106555	0.56132	90.63	1.25	84.38	28x
High-quality	Rumen	ruminal_MAG_461	260	3960596	44	26220	95530	0.53546	94.65	2.1	84.15	23x
High-quality	Rumen	ruminal_MAG_462	144	1954754	31	21552	55921	0.62097	87.74	1.14	82.04	11x
High-quality	Rumen	ruminal_MAG_463	127	1436938	18	22048	79626	0.35983	90.36	6.74	56.66	11x
High-quality	Rumen	ruminal_MAG_464	255	2471481	48	15222	70880	0.38852	96.14	1.9	86.64	11x
High-quality	Rumen	ruminal_MAG_465	83	2188560	15	43016	141342	0.35092	96.44	2.13	85.79	24x
High-quality	Rumen	ruminal_MAG_466	453	4054466	73	14056	124430	0.44954	100	2.03	89.85	14x
High-quality	Rumen	ruminal_MAG_467	132	2974278	5	193199	454055	0.50668	96.4	2.69	82.95	32x
High-quality	Rumen	ruminal_MAG_468	131	2074157	25	26352	91166	0.45817	80.48	1.71	71.93	16x
High-quality	Rumen	ruminal_MAG_469	139	2241373	24	25948	148829	0.35953	88.31	7.55	50.56	12x
High-quality	Rumen	ruminal_MAG_47	55	2236271	13	64389	127530	0.51226	89.67	0.87	85.32	21x
High-quality	Rumen	ruminal_MAG_470	118	2130796	24	31222	74130	0.57125	85.83	3.49	68.38	20x
High-quality	Rumen	ruminal_MAG_471	125	2304177	22	28654	136793	0.46576	92.86	3.36	76.06	25x
High-quality	Rumen	ruminal_MAG_472	136	2082113	28	24730	70314	0.47541	88.79	1.27	82.44	23x
High-quality	Rumen	ruminal_MAG_473	125	2134651	27	24601	81432	0.57644	94.22	0.71	90.67	19x
High-quality	Rumen	ruminal_MAG_474	158	2432816	30	24141	81338	0.37251	93.12	2.24	81.92	12x
High-quality	Rumen	ruminal_MAG_475	225	1484655	63	8064	29510	0.55639	80.02	0.95	75.27	10x
High-quality	Rumen	ruminal_MAG_476	34	3055600	7	121995	311875	0.47924	99.05	0.58	96.15	32x
High-quality	Rumen	ruminal_MAG_477	172	1749115	38	14541	52013	0.59579	86.61	2.62	73.51	14x
High-quality	Rumen	ruminal_MAG_478	257	1733602	61	9011	36791	0.68436	93.41	0.55	90.66	19x
High-quality	Rumen	ruminal_MAG_479	81	2295521	16	42140	109715	0.4476	90.11	2.17	79.26	35x
High-quality	Rumen	ruminal_MAG_48	96	2949166	21	48742	162433	0.462	94.15	1.38	87.25	14x
High-quality	Rumen	ruminal_MAG_480	80	1999712	14	43841	136146	0.57798	88	0.67	84.65	18x
High-quality	Rumen	ruminal_MAG_481	164	1527397	34	14214	50861	0.29525	83.68	0.14	82.98	30x
High-quality	Rumen	ruminal_MAG_482	205	2333734	39	16511	127015	0.40599	85.48	0.54	82.78	11x
High-quality	Rumen	ruminal_MAG_483	103	1682193	22	24142	63038	0.42383	84.41	0.27	83.06	12x
High-quality	Rumen	ruminal_MAG_484	145	1892634	37	16749	50480	0.54367	85.74	0.95	80.99	34x
High-quality	Rumen	ruminal_MAG_485	144	2036599	30	21915	73171	0.5911	86.4	5.67	58.05	61x
High-quality	Rumen	ruminal_MAG_486	71	1987081	15	42767	96117	0.52413	94.33	2.36	82.53	19x
High-quality	Rumen	ruminal_MAG_487	233	2803305	52	17580	62230	0.50466	86.16	4.07	65.81	20x
High-quality	Rumen	ruminal_MAG_488	157	1819242	35	16539	77519	0.51711	89.97	0.78	86.07	11x
High-quality	Rumen	ruminal_MAG_489	166	2152140	41	17476	69638	0.48727	91.77	1.27	85.42	13x
High-quality	Rumen	ruminal_MAG_49	389	2419505	94	7770	44992	0.58783	88.38	0.78	84.48	9x
High-quality	Rumen	ruminal_MAG_490	94	2364791	17	41828	101350	0.58206	84.54	3.23	68.39	31x
High-quality	Rumen	ruminal_MAG_491	139	1743547	30	17537	92450	0.48881	80.86	0	80.86	11x
High-quality	Rumen	ruminal_MAG_492	308	1616741	70	7228	29854	0.37486	86.46	2.08	76.06	42x
High-quality	Rumen	ruminal_MAG_493	182	1153526	37	9806	40568	0.43082	82.12	3.24	65.92	26x
High-quality	Rumen	ruminal_MAG_494	81	2351574	9	101837	225923	0.59886	94.86	2.3	83.36	23x
High-quality	Rumen	ruminal_MAG_495	43	1572931	5	132896	240440	0.50712	81.8	0.97	76.95	23x
High-quality	Rumen	ruminal_MAG_496	85	1170363	16	24211	88899	0.41727	92.31	2.56	79.51	19x
High-quality	Rumen	ruminal_MAG_497	352	1454184	89	4974	23748	0.4579	87.15	3.43	70	10x
Medium-quality	Rumen	ruminal_MAG_498	491	2871190	125	7011	39856	0.57566	78.8	7.27	42.45	NA
Medium-quality	Rumen	ruminal_MAG_499	210	1311629	51	7895	34458	0.38474	77.89	0	77.89	NA
High-quality	Rumen	ruminal_MAG_5	357	1239757	81	4392	20285	0.3699	93.45	3.37	76.6	8x
High-quality	Rumen	ruminal_MAG_50	22	2403496	6	138096	340691	0.52021	97.58	0.54	94.88	43x
Medium-quality	Rumen	ruminal_MAG_500	631	2646081	178	4672	32535	0.52755	79.12	2.39	67.17	NA
Medium-quality	Rumen	ruminal_MAG_501	935	2206516	289	2590	10053	0.61257	75	3.41	57.95	NA
Medium-quality	Rumen	ruminal_MAG_502	263	964420	66	4544	23562	0.42528	79.57	1.43	72.42	NA
Medium-quality	Rumen	ruminal_MAG_503	761	1366037	253	1831	8265	0.33462	62.66	7.03	27.51	NA
Medium-quality	Rumen	ruminal_MAG_504	448	1911745	125	4407	84120	0.3847	65.65	0.95	60.9	NA
Medium-quality	Rumen	ruminal_MAG_505	529	2691152	147	5814	23625	0.49445	81.9	6.74	48.2	NA
Medium-quality	Rumen	ruminal_MAG_506	369	654087	123	1833	7643	0.47418	52.64	3.11	37.09	NA
Medium-quality	Rumen	ruminal_MAG_507	511	1527790	140	3424	14356	0.50643	74.07	3.62	55.97	NA
Medium-quality	Rumen	ruminal_MAG_508	357	1925507	90	6717	44932	0.61566	79.65	2.34	67.95	NA
Medium-quality	Rumen	ruminal_MAG_509	917	2315038	239	2919	20684	0.49439	82.91	7.96	43.11	NA
High-quality	Rumen	ruminal_MAG_51	242	3278205	44	24577	80147	0.52563	97.59	2.69	84.14	12x
Medium-quality	Rumen	ruminal_MAG_510	979	2583936	293	2943	23880	0.41611	77.37	4.7	53.87	NA
Medium-quality	Rumen	ruminal_MAG_511	502	2496319	139	5752	23068	0.54711	63.84	5.32	37.24	NA
Medium-quality	Rumen	ruminal_MAG_512	608	1864211	159	3267	21608	0.27537	64.22	8.31	22.67	NA
Medium-quality	Rumen	ruminal_MAG_513	507	1053411	151	2247	11529	0.42267	55.15	2.68	41.75	NA
Medium-quality	Rumen	ruminal_MAG_514	811	1925258	238	2658	17962	0.58593	70.07	2.62	56.97	NA
Medium-quality	Rumen	ruminal_MAG_515	580	1509785	168	2952	12163	0.58368	74.98	2.95	60.23	NA
Medium-quality	Rumen	ruminal_MAG_516	501	933689	166	1943	7204	0.48174	51.44	1.69	42.99	NA
Medium-quality	Rumen	ruminal_MAG_517	562	1554904	153	3153	17081	0.51552	66.41	1.14	60.71	NA
Medium-quality	Rumen	ruminal_MAG_518	790	1743483	234	2514	11474	0.52227	50.02	2.6	37.02	NA
Medium-quality	Rumen	ruminal_MAG_519	428	2087214	119	5821	18424	0.62011	68.59	4.13	47.94	NA
High-quality	Rumen	ruminal_MAG_52	61	1445965	10	40870	133677	0.36826	94	0	94	14x
Medium-quality	Rumen	ruminal_MAG_520	775	1656237	225	2303	11353	0.57865	53.74	0.89	49.29	NA
Medium-quality	Rumen	ruminal_MAG_521	490	1757803	133	4219	23432	0.51753	79	3.41	61.95	NA
Medium-quality	Rumen	ruminal_MAG_522	926	2423729	232	2923	44055	0.49798	77.12	5.75	48.37	NA
Medium-quality	Rumen	ruminal_MAG_523	538	1129951	170	2260	9448	0.48575	66.88	1.15	61.13	NA
Medium-quality	Rumen	ruminal_MAG_524	111	3187292	12	94362	225148	0.56118	69.41	1.57	61.56	NA
Medium-quality	Rumen	ruminal_MAG_525	609	1776374	191	3073	42439	0.52639	56.79	3.1	41.29	NA
Medium-quality	Rumen	ruminal_MAG_526	388	1594101	117	4311	31931	0.56832	63.15	6.54	30.45	NA
Medium-quality	Rumen	ruminal_MAG_527	638	2258866	222	3651	11818	0.43968	61.14	3.31	44.59	NA
Medium-quality	Rumen	ruminal_MAG_528	53	572804	10	16832	65575	0.46613	77.35	0	77.35	NA
Medium-quality	Rumen	ruminal_MAG_529	102	1997402	21	29745	98585	0.53951	72.48	0.8	68.48	NA
High-quality	Rumen	ruminal_MAG_53	125	3088210	23	36209	145929	0.55544	85.83	0.38	83.93	17x
Medium-quality	Rumen	ruminal_MAG_530	657	1736982	190	3023	13023	0.37704	71.62	0.54	68.92	NA
Medium-quality	Rumen	ruminal_MAG_531	624	1602161	183	2875	14063	0.58387	70.13	2.3	58.63	NA
Medium-quality	Rumen	ruminal_MAG_532	1652	3671475	492	2448	34391	0.55553	66.72	6.17	35.87	NA
Medium-quality	Rumen	ruminal_MAG_533	726	3364337	148	5288	90334	0.4889	59.86	4.09	39.41	NA
Medium-quality	Rumen	ruminal_MAG_534	656	1779807	194	2972	16612	0.4244	58.98	2.39	47.03	NA
Medium-quality	Rumen	ruminal_MAG_535	423	2141571	85	7404	40456	0.51682	78.15	3.94	58.45	NA
Medium-quality	Rumen	ruminal_MAG_536	502	2530898	134	6055	26934	0.42526	80.7	6.49	48.25	NA
Medium-quality	Rumen	ruminal_MAG_537	276	1951628	69	8546	37286	0.58156	77.75	1.57	69.9	NA
Medium-quality	Rumen	ruminal_MAG_538	307	2486627	61	11683	75992	0.36344	55.74	0.93	51.09	NA
Medium-quality	Rumen	ruminal_MAG_539	679	1428777	212	2296	8459	0.54754	73.02	2.2	62.02	NA
High-quality	Rumen	ruminal_MAG_54	550	2658910	148	6099	24767	0.62076	88.1	5.37	61.25	4x
Medium-quality	Rumen	ruminal_MAG_540	525	1150823	158	2511	8602	0.48655	76.57	2.03	66.42	NA
Medium-quality	Rumen	ruminal_MAG_541	835	2856456	238	3986	59450	0.59591	73.38	5.66	45.08	NA
Medium-quality	Rumen	ruminal_MAG_542	666	1738000	191	3009	14033	0.54873	77.13	6.66	43.83	NA
Medium-quality	Rumen	ruminal_MAG_543	432	817357	138	1923	14581	0.36775	60.76	0	60.76	NA
Medium-quality	Rumen	ruminal_MAG_544	467	2890270	99	8052	44985	0.43539	83.14	9.63	34.99	NA
Medium-quality	Rumen	ruminal_MAG_545	248	1431507	67	6977	25928	0.52672	77.37	0.48	74.97	NA
Medium-quality	Rumen	ruminal_MAG_546	418	1771004	123	4449	19249	0.57285	65.21	2.49	52.76	NA
Medium-quality	Rumen	ruminal_MAG_547	188	2150806	38	14971	76081	0.33087	79.82	1.28	73.42	NA
Medium-quality	Rumen	ruminal_MAG_548	517	1879225	174	3671	16423	0.45628	59.21	1.27	52.86	NA
Medium-quality	Rumen	ruminal_MAG_549	608	2312587	198	4016	16075	0.45141	65.35	0.66	62.05	NA
High-quality	Rumen	ruminal_MAG_55	75	2758795	11	58030	248016	0.46715	91.92	0.88	87.52	35x
Medium-quality	Rumen	ruminal_MAG_550	534	1752357	153	3892	13569	0.30431	78.53	2.56	65.73	NA
Medium-quality	Rumen	ruminal_MAG_551	725	1671591	209	2483	60430	0.49233	70.44	6.46	38.14	NA
Medium-quality	Rumen	ruminal_MAG_552	608	2396682	136	4565	36479	0.51851	66.06	4.58	43.16	NA
Medium-quality	Rumen	ruminal_MAG_553	385	2697648	79	9880	54968	0.34661	87.72	8.81	43.67	NA
Medium-quality	Rumen	ruminal_MAG_554	870	1699809	287	2107	8344	0.39638	67.85	6.81	33.8	NA
Medium-quality	Rumen	ruminal_MAG_555	341	2181605	81	8530	39002	0.60467	91.14	9.9	41.64	NA
Medium-quality	Rumen	ruminal_MAG_556	847	3494753	246	4337	29134	0.48615	78.71	3.54	61.01	NA
Medium-quality	Rumen	ruminal_MAG_557	383	1690139	87	5098	83414	0.35653	74.64	6.29	43.19	NA
Medium-quality	Rumen	ruminal_MAG_558	309	550052	102	1775	5567	0.48239	56.34	0	56.34	NA
Medium-quality	Rumen	ruminal_MAG_559	640	1735183	216	2841	10730	0.46737	60.92	1.56	53.12	NA
High-quality	Rumen	ruminal_MAG_56	259	2227654	59	12255	41118	0.58255	87.91	2.06	77.61	10x
Medium-quality	Rumen	ruminal_MAG_560	58	1595974	15	37899	77470	0.49464	76.61	0	76.61	NA
Medium-quality	Rumen	ruminal_MAG_561	617	1926148	111	3900	116307	0.34889	79.73	7.38	42.83	NA
Medium-quality	Rumen	ruminal_MAG_562	356	673852	119	1981	8946	0.41578	54.12	1.2	48.12	NA
Medium-quality	Rumen	ruminal_MAG_563	90	2952158	21	49246	110499	0.5434	78.22	0.56	75.42	NA
Medium-quality	Rumen	ruminal_MAG_564	1568	3178820	486	2164	12311	0.56166	62.99	4.12	42.39	NA
Medium-quality	Rumen	ruminal_MAG_565	236	978565	75	4567	17554	0.57682	72.6	2.64	59.4	NA
Medium-quality	Rumen	ruminal_MAG_566	479	1670538	165	3548	13522	0.5497	50.04	2.01	39.99	NA
Medium-quality	Rumen	ruminal_MAG_567	271	1000258	90	3853	14200	0.50722	58.52	0.95	53.77	NA
Medium-quality	Rumen	ruminal_MAG_568	725	3274661	209	5317	19395	0.49931	76.96	4.26	55.66	NA
Medium-quality	Rumen	ruminal_MAG_569	253	1715478	65	8379	47793	0.33632	79.87	3.56	62.07	NA
High-quality	Rumen	ruminal_MAG_57	132	2661800	28	29842	93023	0.39073	97.89	1.13	92.24	9x
Medium-quality	Rumen	ruminal_MAG_570	952	2061689	282	2341	14685	0.3902	88.64	9.17	42.79	NA
Medium-quality	Rumen	ruminal_MAG_571	581	1103125	193	1966	7058	0.52075	57.24	2.18	46.34	NA
Medium-quality	Rumen	ruminal_MAG_572	459	836377	156	1868	7510	0.48312	58.42	0.14	57.72	NA
Medium-quality	Rumen	ruminal_MAG_573	339	1154887	93	3824	33022	0.36922	82.07	9.75	33.32	NA
Medium-quality	Rumen	ruminal_MAG_574	180	653437	58	3597	19118	0.37298	68.95	0.16	68.15	NA
Medium-quality	Rumen	ruminal_MAG_575	281	1693926	55	7975	110075	0.32638	74.12	0.8	70.12	NA
Medium-quality	Rumen	ruminal_MAG_576	430	2010134	113	5292	25812	0.52152	79.5	1.01	74.45	NA
Medium-quality	Rumen	ruminal_MAG_577	292	2533591	72	11481	51297	0.55191	79.48	1.4	72.48	NA
Medium-quality	Rumen	ruminal_MAG_578	617	2175238	130	4387	75494	0.32481	72.07	4.43	49.92	NA
Medium-quality	Rumen	ruminal_MAG_579	1591	3450503	478	2346	11706	0.56146	71.59	2.4	59.59	NA
High-quality	Rumen	ruminal_MAG_58	145	1018204	28	10358	48210	0.36876	82.96	0.56	80.16	29x
Medium-quality	Rumen	ruminal_MAG_580	871	1895542	274	2367	9832	0.49909	76.37	4.83	52.22	NA
Medium-quality	Rumen	ruminal_MAG_581	586	1724857	154	3600	13382	0.34992	73.7	4.5	51.2	NA
Medium-quality	Rumen	ruminal_MAG_582	405	813417	131	2235	5965	0.41602	66.69	2.69	53.24	NA
Medium-quality	Rumen	ruminal_MAG_583	115	2378102	18	48693	110042	0.35643	76.79	0	76.79	NA
Medium-quality	Rumen	ruminal_MAG_584	477	2007916	138	4558	21274	0.54146	68.09	2.45	55.84	NA
Medium-quality	Rumen	ruminal_MAG_585	209	794545	66	4076	16607	0.36806	53	2.25	41.75	NA
Medium-quality	Rumen	ruminal_MAG_586	651	1287893	210	2152	6475	0.54958	63.83	1.78	54.93	NA
Medium-quality	Rumen	ruminal_MAG_587	958	1675253	317	1757	7427	0.5461	55.08	3.86	35.78	NA
Medium-quality	Rumen	ruminal_MAG_588	824	1969538	230	2695	11210	0.47408	65.37	0.81	61.32	NA
Medium-quality	Rumen	ruminal_MAG_589	575	1386626	171	2642	9498	0.58552	77.55	2.35	65.8	NA
High-quality	Rumen	ruminal_MAG_59	129	1997529	25	26057	67828	0.35075	86.16	2	76.16	14x
Medium-quality	Rumen	ruminal_MAG_590	484	1573746	130	3785	19473	0.50518	74.11	3.51	56.56	NA
